backbone,seed,snr,n,bayes,probe,readout,hard,T1_plus_T2,T3_probe,T3_readout
petcgdnn,2026,-20,1050,15.57,15.14,13.9,14.1,0.42,1.05,-0.19
petcgdnn,2026,-18,1050,16.42,13.43,13.24,13.81,2.99,-0.38,-0.57
petcgdnn,2026,-16,1050,17.63,14.48,15.24,14.19,3.15,0.29,1.05
petcgdnn,2026,-14,1050,19.5,15.14,15.62,17.9,4.35,-2.76,-2.29
petcgdnn,2026,-12,1050,22.64,14.76,21.14,21.52,7.88,-6.76,-0.38
petcgdnn,2026,-10,1050,26.95,20.0,24.38,22.86,6.95,-2.86,1.52
petcgdnn,2026,-8,1050,33.58,26.76,31.24,30.38,6.82,-3.62,0.86
petcgdnn,2026,-6,1050,42.7,33.14,37.33,36.19,9.56,-3.05,1.14
petcgdnn,2026,-4,1050,52.48,40.38,43.24,43.14,12.1,-2.76,0.1
petcgdnn,2026,-2,1050,60.67,50.95,54.1,54.38,9.71,-3.43,-0.29
petcgdnn,2026,0,1050,67.6,55.05,58.57,60.48,12.56,-5.43,-1.9
petcgdnn,2026,2,1050,76.17,61.71,65.43,65.43,14.45,-3.71,0.0
petcgdnn,2026,4,1050,84.82,75.43,75.33,72.95,9.39,2.48,2.38
petcgdnn,2026,6,1050,89.15,82.0,83.52,81.52,7.15,0.48,2.0
petcgdnn,2026,8,1050,91.46,85.9,85.81,85.9,5.55,0.0,-0.1
petcgdnn,2026,10,1050,96.14,86.19,87.14,85.9,9.95,0.29,1.24
petcgdnn,2026,12,1050,99.57,86.86,87.05,87.81,12.71,-0.95,-0.76
petcgdnn,2026,14,1050,99.86,88.57,89.33,88.38,11.29,0.19,0.95
petcgdnn,2026,16,1050,99.95,88.1,89.05,88.38,11.86,-0.29,0.67
petcgdnn,2026,18,1050,100.0,88.57,89.05,88.57,11.43,0.0,0.48
petcgdnn,2027,-20,1050,15.57,17.52,14.29,16.0,-1.96,1.52,-1.71
petcgdnn,2027,-18,1050,16.42,13.05,12.95,15.62,3.37,-2.57,-2.67
petcgdnn,2027,-16,1050,17.63,14.1,15.9,15.33,3.53,-1.24,0.57
petcgdnn,2027,-14,1050,19.5,15.71,16.38,17.24,3.78,-1.52,-0.86
